Maturity,Factor,Mean,Median,IQR,Std,Min,Max,Skewness,Kurtosis,acf-lag1,acf-lag5,acf-lag21
1m,level y0,0.1799,0.1583,0.0857,0.0785,0.0734,0.7817,2.231,8.1683,0.9766,0.9215,0.7554
1m,slope y1,-0.0376,-0.0334,0.018,0.0185,-0.2388,-0.0014,-2.437,12.3397,0.9367,0.8005,0.5809
1m,curvature y2,0.0021,0.0014,0.0029,0.0028,-0.0666,0.0321,-1.5008,71.6398,0.8322,0.6131,0.5465
2m,level y0,0.1841,0.1663,0.0838,0.0708,0.0889,0.689,1.9668,6.3895,0.984,0.9432,0.8132
2m,slope y1,-0.0427,-0.0379,0.0199,0.0214,-0.3004,-0.0112,-3.3844,22.9937,0.9576,0.8487,0.6079
2m,curvature y2,0.0013,0.0005,0.0021,0.0043,-0.0434,0.1082,11.4197,227.9626,0.9025,0.6038,0.24
3m,level y0,0.1867,0.1709,0.081,0.0657,0.0989,0.6406,1.8298,5.4968,0.9872,0.9516,0.8378
3m,slope y1,-0.0447,-0.0402,0.0207,0.0209,-0.2752,0.0664,-2.7567,15.358,0.9556,0.859,0.6336
3m,curvature y2,0.0007,0.0002,0.0017,0.0039,-0.1439,0.0787,-4.1116,361.2449,0.6678,0.4495,0.256
4m,level y0,0.1889,0.1752,0.0768,0.062,0.1036,0.5974,1.7736,5.1751,0.9886,0.9565,0.8526
4m,slope y1,-0.0457,-0.041,0.0214,0.022,-0.2994,-0.0127,-3.1523,19.3891,0.9578,0.8615,0.6515
4m,curvature y2,0.0009,0.0001,0.0017,0.0046,-0.0491,0.111,6.9609,122.3441,0.8739,0.6825,0.198
6m,level y0,0.1923,0.1812,0.0715,0.0566,0.1107,0.5692,1.6152,4.337,0.9902,0.9624,0.8726
6m,slope y1,-0.047,-0.0423,0.0216,0.0229,-0.307,-0.0115,-3.4677,22.689,0.9506,0.8568,0.627
6m,curvature y2,0.0008,-0.0,0.0014,0.0058,-0.0844,0.1237,5.497,125.0399,0.7587,0.6279,0.3789
12m,level y0,0.1961,0.1877,0.0616,0.0487,0.1214,0.4776,1.4329,3.4994,0.9933,0.973,0.9055
12m,slope y1,-0.0492,-0.0438,0.0224,0.0234,-0.3537,0.0206,-3.2306,20.6621,0.9572,0.8572,0.6303
12m,curvature y2,0.0001,-0.0004,0.0016,0.0069,-0.0986,0.0922,2.6159,64.9814,0.8091,0.4772,0.2291
