This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
19960105,-4.067,0.827,1.018,-0.307,-0.067,0.855,0.5,-0.145,-0.221,0.101,0.029,-0.428
19960108,-1.795,-0.642,-0.443,0.307,0.234,0.167,0.224,0.116,0.098,-0.101,-0.101,-0.085
19960109,34.233,9.657,4.109,-0.396,-0.324,4.148,-4.098,-1.743,-0.916,0.132,0.141,-2.104
19960110,0.968,-2.854,-1.956,0.723,-0.77,-5.758,-0.139,0.597,0.482,-0.246,0.34,3.095
19960111,-9.191,-6.238,-3.26,1.116,-1.824,-1.151,1.41,1.363,0.842,-0.404,0.835,0.594
19960112,-1.134,-1.423,-3.053,-4.441,-1.237,-0.338,0.152,0.274,0.711,1.512,0.531,0.172
19960115,-1.035,2.117,3.95,5.082,1.465,0.881,0.141,-0.406,-0.898,-1.662,-0.623,-0.447
19960116,10.329,0.773,2.182,2.476,-0.704,0.194,-1.552,-0.156,-0.535,-0.887,0.307,-0.1
19960117,-0.054,1.091,1.05,0.583,-0.306,-0.46,0.007,-0.206,-0.239,-0.195,0.131,0.235
19960118,0,-0.011,-0.15,-0.304,-0.652,-1.144,0,0.002,0.035,0.103,0.28,0.584
19960119,-5.188,-1.125,-1.499,-1.913,-1.117,0.298,0.701,0.218,0.348,0.647,0.475,-0.15
19960122,-0.816,-4.02,-2.447,0.059,0.6,-0.268,0.102,0.741,0.547,-0.02,-0.251,0.135
