This file contains the synthetic VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The dates are in YYYYMMDD format,,,,,,
r_K^{var. swap} gives the daily return of a constant-maturity variance swap with target maturity K months,,,,,,
Returns are in percent,,,,,,
,,,,,,
Date,r_1^{var. swap},r_2^{var. swap},r_3^{var. swap},r_6^{var. swap},r_9^{var. swap},r_12^{var. swap}
19960105,-11.085,-2.301,-0.602,-0.565,7.678,-2.664
19960108,-12.987,-6.969,-3.98,-5.73,-9.234,-1.68
19960109,86.43,34.366,-10.423,16.073,7.596,4.283
19960110,2.044,17.554,31.737,1.317,2.662,6.638
19960111,-18.11,-12.136,-9.38,-5.368,-7.016,-3.465
19960112,-7.354,-4.05,-3.479,-2.434,0.908,2.74
19960115,1.955,0.386,-1.869,1.665,0.151,-0.439
19960116,-3.497,-0.215,3.176,-0.668,-0.104,-0.737
19960117,-4.313,-0.266,3.915,-0.347,0.507,2.502
19960118,-4.807,-0.819,3.303,-0.762,-1.174,-2.82
19960119,-10.054,-8.537,-6.97,-2.745,-2.012,-1.709
19960122,0.987,-0.577,-2.193,0.031,-0.5,-0.83
19960123,-2.115,-1.756,-1.446,-0.125,0.479,-1.677
19960124,0.351,-7.762,-4.668,-3.219,-2.891,-2.931
19960125,3.014,-2.863,-1.978,-4.008,-4.221,-1.529
19960126,-4.385,-1.935,-2.2,-1.659,-2.005,-1.824
19960129,-3.623,-3.41,-6.55,-2.586,-1.665,-1.297
19960130,16.693,0.873,-6.497,-2.115,-3.538,-1.718
19960131,8.924,0.787,-7.063,-0.654,1.494,3.992
19960201,-0.454,0.304,-2.311,-0.029,-1.139,-4.351
19960202,4.156,13.26,20.711,4.346,2.314,4.867
19960205,0.867,-2.296,-13.208,2.001,0.699,-4.594
19960206,22.344,18.662,16.71,10.783,8.381,5.329
19960207,-5.325,-3.203,-1.65,3.418,1.546,-1.788
19960208,5.184,1.122,2.98,5.103,3.1,3.761
19960209,1.015,4.004,4.337,5.344,4.479,2.944
19960212,0.995,-3.999,-4.784,-0.774,1.023,0.156
19960213,-3.307,2.963,3.248,-0.913,-5.074,1.857
19960214,9.219,2.468,2.789,2.068,-3.229,-0.394
19960215,2.693,5.196,5.874,7.854,4.721,3.568
19960216,-14.064,-4.088,-0.948,-0.953,0.31,1.56
19960220,3.865,2.575,5.202,6.694,5.386,4.383
19960221,-9.655,-14.616,-14.299,-11.443,-9.026,-5.745
19960222,16.199,6.281,2.108,-2.47,-3.61,-3.699
19960223,-1.081,1.066,4.891,3.283,2.564,1.436
19960226,18.028,17.023,10.251,6.429,4.768,4.422
19960227,-7.682,1.337,3.686,1.066,0.056,-0.176
19960228,0.028,-0.517,0.024,1.511,0.834,0.127
19960229,2.185,7.515,4.31,4.869,4.552,3.597
19960301,4.76,0.707,1.852,-0.73,-2.215,-1.452
19960304,-7.353,-6.452,-5.243,-2.73,-1.404,-0.505
19960305,-3.67,-0.674,-1.839,-0.636,0.596,0.744
19960306,4.196,2.694,3.88,1.225,-0.022,-0.982
19960307,-5.93,-1.225,-2.372,-1.346,-0.64,0.056
19960308,125.582,61.273,49.619,22.724,16.9,14.889
19960311,-18.726,-5.306,-3.896,1.044,0.654,-0.957
19960312,-5.705,-2.414,-0.973,0.215,-0.65,0.051
19960313,-5.332,-2.151,-1.082,0.696,1.028,0.382
19960314,-14.704,-8.896,-8.279,-2.765,-2.923,-1.665
19960315,-7.646,-6.835,-4.853,-2.91,-2.044,-1.361
19960318,16.499,14.53,1.617,-1.675,-3.451,-1.628
19960319,14.98,8.696,11.166,5.923,3.512,2.228
19960320,-3.453,1.229,3.532,2.337,2.79,3.134
19960321,-10.873,-1.553,-3.764,-0.746,-1.327,-0.581
19960322,-8.589,-8.682,-4.519,-2.401,-2.794,-1.735
19960325,-1.738,0.857,-1.169,-1.016,-0.978,-0.15
19960326,-1.802,-0.741,-0.426,0.181,3.487,0.466
19960327,1.303,4.648,5.013,6.457,2.199,4.133
19960328,-3.521,-1.22,-3.054,-1.703,-1.813,-1.365
19960329,4.056,3.217,3.837,4.667,1.763,1.314
19960401,-10.111,-4.225,-6.692,-4.173,-2.327,-1.509
19960402,-18.305,-11.036,-6.455,-2.623,-2.716,-2.623
19960403,-5.612,-4.66,-4.669,-4.234,-0.122,-0.144
19960404,-2.433,-3.594,-3.063,-0.617,-1.394,-0.821
19960408,24.101,18.917,13.736,10.659,3.886,4.224
19960409,-15.352,-10.761,-7.425,-4.973,-3.473,0.313
19960410,44.998,30.1,21.211,9.951,8.604,2.096
19960411,-15.936,-6.074,1.913,2.939,1.281,1.241
19960412,-18.422,-12.572,-7.044,-2.661,-3.415,-3.767
19960415,-11.204,-8.773,-7.862,-3.883,-4.998,-1.137
19960416,-4.166,-6.257,-8.418,-5.075,-2.054,-2.9
19960417,1.603,2.622,3.676,-0.506,1.741,0.287
