date,factor,hump_value,mid_maturity,short_maturity,long_maturity
2000-01-03,gamma0,-8.199568107895088e-05,6m,1m,12m
2000-01-04,gamma0,9.227039634365067e-05,6m,1m,12m
2000-01-05,gamma0,-1.6551505811107216e-05,6m,1m,12m
2000-01-06,gamma0,-0.00012923245994555334,6m,1m,12m
2000-01-07,gamma0,-0.00010609985001232213,6m,1m,12m
2000-01-10,gamma0,-0.0001067743920153204,6m,1m,12m
2000-01-11,gamma0,-6.578873214014826e-05,6m,1m,12m
2000-01-12,gamma0,-4.5821597611691945e-05,6m,1m,12m
2000-01-13,gamma0,-0.0001239183779526772,6m,1m,12m
2000-01-14,gamma0,-0.00016433625507555495,6m,1m,12m
2000-01-19,gamma0,-9.225308021487099e-05,6m,1m,12m
2000-01-20,gamma0,-8.580640796527037e-05,6m,1m,12m
2000-01-21,gamma0,-0.00010770044288296911,6m,1m,12m
2000-01-24,gamma0,1.0102144335853005e-05,6m,1m,12m
2000-01-25,gamma0,-4.210081294570922e-05,6m,1m,12m
2000-01-26,gamma0,-4.069897940273247e-05,6m,1m,12m
2000-01-27,gamma0,-4.07626875696686e-05,6m,1m,12m
2000-01-28,gamma0,8.52815417735989e-05,6m,1m,12m
2000-01-31,gamma0,4.714245193022782e-06,6m,1m,12m
2000-02-01,gamma0,-6.440218252105667e-05,6m,1m,12m
2000-02-02,gamma0,-6.684959790097172e-05,6m,1m,12m
2000-02-03,gamma0,-4.632338489188537e-05,6m,1m,12m
2000-02-04,gamma0,-6.599366195184734e-05,6m,1m,12m
2000-02-07,gamma0,-8.296590569401114e-06,6m,1m,12m
2000-02-08,gamma0,-7.251766148132571e-05,6m,1m,12m
2000-02-09,gamma0,-3.526701803710045e-06,6m,1m,12m
2000-02-10,gamma0,-1.4343719212539735e-05,6m,1m,12m
2000-02-11,gamma0,3.865400200830131e-05,6m,1m,12m
2000-02-16,gamma0,-5.004132065628892e-05,6m,1m,12m
2000-02-17,gamma0,-7.869355138606264e-05,6m,1m,12m
2000-02-18,gamma0,3.690001756019893e-05,6m,1m,12m
2000-02-22,gamma0,4.810195526657516e-05,6m,1m,12m
2000-02-23,gamma0,-1.0795893988655067e-05,6m,1m,12m
2000-02-24,gamma0,-2.310565225840888e-05,6m,1m,12m
2000-02-25,gamma0,7.474801194574294e-06,6m,1m,12m
2000-02-28,gamma0,1.6222589773451337e-05,6m,1m,12m
2000-02-29,gamma0,-3.435045980378819e-05,6m,1m,12m
2000-03-01,gamma0,-9.340648571324627e-05,6m,1m,12m
2000-03-02,gamma0,-0.00010049634747408703,6m,1m,12m
2000-03-03,gamma0,-0.00016904459383569625,6m,1m,12m
2000-03-06,gamma0,-9.294989386263875e-05,6m,1m,12m
2000-03-07,gamma0,3.494842260963659e-05,6m,1m,12m
2000-03-08,gamma0,-2.694193989380475e-05,6m,1m,12m
2000-03-09,gamma0,-7.035812690561483e-05,6m,1m,12m
2000-03-10,gamma0,-9.39863079751844e-05,6m,1m,12m
