Maturity,Hump,R2_OOS,CW_stat,CW_pval,DA,DA_pval,N_OOS
1m,hump_gamma0,-0.0211,-0.728,0.7668,0.7049,0.0009,1267
1m,hump_gamma1,-0.0027,0.671,0.251,0.7049,0.0009,1267
1m,hump_gamma2,-0.0065,0.008,0.4966,0.7049,0.0009,1267
2m,hump_gamma0,-0.1189,-0.162,0.5644,0.6604,0.0135,1108
2m,hump_gamma1,-0.0054,-0.354,0.6382,0.6604,0.0135,1108
2m,hump_gamma2,-0.0222,-0.236,0.5934,0.6604,0.0135,1108
3m,hump_gamma0,-0.0618,0.395,0.3464,0.5981,0.0263,2233
3m,hump_gamma1,-0.0076,-0.394,0.6531,0.6075,0.0165,2233
3m,hump_gamma2,-0.0064,0.291,0.3856,0.6168,0.01,2233
4m,hump_gamma0,-0.0754,0.078,0.4689,0.58,0.0666,2084
4m,hump_gamma1,-0.0148,-0.371,0.6446,0.55,0.1841,2084
4m,hump_gamma2,0.0027,1.286,0.0992,0.57,0.0967,2084
6m,hump_gamma0,-0.0578,0.442,0.3294,0.5417,0.3327,993
6m,hump_gamma1,-0.008,-0.616,0.7311,0.5208,0.4427,993
6m,hump_gamma2,0.0403,0.942,0.173,0.5625,0.2354,993
12m,hump_gamma0,-0.0177,0.247,0.4024,0.4487,0.8459,1635
12m,hump_gamma1,-0.0293,-2.052,0.9799,0.4359,0.8937,1635
12m,hump_gamma2,-0.0334,-2.433,0.9925,0.4231,0.9297,1635
,,,,,,,
,,-0.1189,,,,,
