Maturity,Hump,R2_OOS,CW_stat,CW_pval,DA,DA_pval,N_OOS
3m,hump_gamma0,,,,,,
3m,hump_gamma1,,,,,,
3m,hump_gamma2,,,,,,
4m,hump_gamma0,-1.504,-1.912,0.9721,0.25,0.9375,65.0
4m,hump_gamma1,-0.1475,0.405,0.3426,1.0,0.0625,65.0
4m,hump_gamma2,-0.0997,-0.353,0.6379,1.0,0.0625,65.0
6m,hump_gamma0,-0.3666,1.285,0.0994,0.7143,0.2266,145.0
6m,hump_gamma1,0.0077,1.222,0.1109,0.8571,0.0625,145.0
6m,hump_gamma2,0.0686,1.637,0.0508,0.8571,0.0625,145.0
12m,hump_gamma0,-0.0375,0.502,0.3077,0.6429,0.212,283.0
12m,hump_gamma1,0.0317,2.378,0.0087,0.7143,0.0898,283.0
12m,hump_gamma2,-0.0156,-0.679,0.7515,0.7143,0.0898,283.0
