Maturity,Predictor,alpha,beta1,t_beta1,p_beta1,beta2,beta3,t_beta3,p_beta3,contango_slope,backwardation_slope,R2,N
1m,gamma0__6m__1m,-0.0997,0.3554,0.187,0.8518,-0.0178,0.5496,0.26,0.7946,0.3554,0.905,0.0095,813
1m,gamma0__12m__1m,-0.1311,1.1862,0.873,0.3825,0.0016,-0.7545,-0.452,0.6512,1.1862,0.4317,0.0116,813
1m,gamma0__12m__6m,-0.142,5.0213,1.103,0.2701,-0.0321,-5.955,-0.82,0.412,5.0213,-0.9338,0.0197,813
2m,gamma0__6m__1m,-0.0377,-1.2788,-1.633,0.1025,-0.0445,-0.9947,-0.807,0.42,-1.2788,-2.2735,0.0629,2834
2m,gamma0__12m__1m,-0.0506,-0.4449,-0.729,0.4658,-0.0257,-1.1164,-1.177,0.239,-0.4449,-1.5613,0.0511,2834
2m,gamma0__12m__6m,-0.067,1.3471,0.639,0.5228,0.0062,-5.2163,-1.522,0.1279,1.3471,-3.8691,0.0218,3231
3m,gamma0__6m__1m,-0.0166,-1.5553,-2.378,0.0174,-0.0376,0.1407,0.15,0.8806,-1.5553,-1.4146,0.0626,2214
3m,gamma0__12m__1m,-0.0263,-0.7603,-1.465,0.143,-0.0269,-0.2624,-0.358,0.7201,-0.7603,-1.0228,0.0514,2214
3m,gamma0__12m__6m,-0.0455,-0.0186,-0.012,0.9905,-0.0059,-3.2422,-1.345,0.1786,-0.0186,-3.2608,0.0296,2490
4m,gamma0__6m__1m,-0.0098,-1.3972,-2.367,0.0179,-0.0282,0.5184,0.55,0.5823,-1.3972,-0.8788,0.0441,2160
4m,gamma0__12m__1m,-0.0143,-0.7931,-1.751,0.0799,-0.0229,0.1866,0.26,0.795,-0.7931,-0.6065,0.0327,2160
4m,gamma0__12m__6m,-0.022,-1.3107,-1.055,0.2913,-0.0188,-0.4813,-0.21,0.8338,-1.3107,-1.7919,0.012,2453
6m,gamma0__6m__1m,-0.0044,-1.1914,-2.775,0.0055,-0.0279,0.2682,0.441,0.6591,-1.1914,-0.9232,0.0586,2994
6m,gamma0__12m__1m,-0.0094,-0.6503,-1.922,0.0546,-0.0236,-0.0451,-0.095,0.9244,-0.6503,-0.6954,0.0502,2994
6m,gamma0__12m__6m,-0.0208,-0.5117,-0.471,0.6375,-0.0155,-2.2219,-1.37,0.1708,-0.5117,-2.7336,0.0377,3414
12m,gamma0__6m__1m,-0.0125,0.313,0.446,0.6556,-0.0327,-1.6117,-1.729,0.0838,0.313,-1.2987,0.0725,1403
12m,gamma0__12m__1m,-0.0174,0.4455,0.864,0.3874,-0.0265,-1.4433,-2.055,0.0399,0.4455,-0.9978,0.076,1403
12m,gamma0__12m__6m,-0.019,1.8942,1.396,0.1626,-0.021,-5.5683,-2.501,0.0124,1.8942,-3.6741,0.0698,1646
