Maturity,Predictor,alpha,beta1,t_beta1,p_beta1,beta2,beta3,t_beta3,p_beta3,contango_slope,backwardation_slope,R2,N
3m,gamma0__6m__1m,,,,,,,,,,,,
3m,gamma0__12m__1m,,,,,,,,,,,,
3m,gamma0__12m__6m,,,,,,,,,,,,
4m,gamma0__6m__1m,0.0412,14.0699,1.764,0.078,-0.1305,-12.805,-1.524,0.128,14.0699,1.2649,0.2454,100
4m,gamma0__12m__1m,-0.0344,21.23,3.099,0.002,-0.0661,-20.511,-3.180,0.002,21.23,0.7191,0.2037,100
4m,gamma0__12m__6m,0.0349,-35.6136,-2.798,0.005,-0.143,35.4725,2.875,0.004,-35.6136,-0.1411,0.0334,124
6m,gamma0__6m__1m,0.1885,-7.3609,-2.727,0.006,-0.2606,7.4049,2.459,0.014,-7.3609,0.044,0.133,403
6m,gamma0__12m__1m,0.1353,-1.7647,-0.490,0.624,-0.2262,1.4818,0.411,0.681,-1.7647,-0.2829,0.1363,403
6m,gamma0__12m__6m,-0.0153,27.1559,1.059,0.289,-0.0944,-30.5058,-1.182,0.237,27.1559,-3.3499,0.1653,479
12m,gamma0__6m__1m,-0.0517,-0.1593,-0.128,0.898,0.0281,0.3955,0.244,0.807,-0.1593,0.2362,0.0088,580
12m,gamma0__12m__1m,-0.0252,-1.4761,-1.226,0.220,-0.0089,1.4897,1.034,0.301,-1.4761,0.0136,0.0114,580
12m,gamma0__12m__6m,-0.0064,-7.4545,-1.534,0.125,-0.0435,5.4328,0.932,0.352,-7.4545,-2.0217,0.0247,696
