Maturity,Hump,alpha,beta1,t_beta1,p_beta1,beta2,beta3,t_beta3,p_beta3,contango_slope,backwardation_slope,R2,N
1m,hump_gamma0,-0.1327,-190.0039,-1.145,0.252,0.1019,730.0686,1.997,0.046,-190.0039,540.0646,0.0255,813
1m,hump_gamma1,-0.0693,-534.8786,-1.897,0.058,-0.0078,-69.3926,-0.083,0.934,-534.8786,-604.2712,0.0207,813
1m,hump_gamma2,-0.1232,796.2559,1.786,0.074,0.0909,535.2831,1.085,0.278,796.2559,1331.539,0.0355,813
2m,hump_gamma0,-0.0823,478.1066,2.580,0.010,0.0534,-87.4734,-0.368,0.713,478.1066,390.6332,0.0779,2834
2m,hump_gamma1,-0.0407,-80.3239,-0.363,0.716,-0.036,-432.8472,-0.764,0.445,-80.3239,-513.171,0.0026,2834
2m,hump_gamma2,-0.0684,539.3192,1.450,0.147,0.0492,-557.6888,-0.745,0.456,539.3192,-18.3697,0.0109,2834
3m,hump_gamma0,-0.0526,281.9579,2.564,0.010,0.0449,157.1194,0.905,0.366,281.9579,439.0773,0.0782,2214
3m,hump_gamma1,-0.0269,-176.9859,-1.169,0.242,-0.0162,-223.7834,-0.862,0.389,-176.9859,-400.7694,0.0095,2214
3m,hump_gamma2,-0.055,436.3077,1.675,0.094,0.0407,-532.9017,-1.255,0.209,436.3077,-96.5941,0.0181,2214
4m,hump_gamma0,-0.0387,189.7273,1.501,0.133,0.032,168.2858,0.952,0.341,189.7273,358.0131,0.0603,2160
4m,hump_gamma1,-0.014,-259.3738,-2.952,0.003,-0.0225,-71.3226,-0.286,0.775,-259.3738,-330.6964,0.0214,2160
4m,hump_gamma2,-0.0363,95.7529,0.299,0.765,0.0231,-29.1614,-0.065,0.948,95.7529,66.5915,0.0052,2160
6m,hump_gamma0,-0.0298,174.6165,2.420,0.016,0.0284,125.5968,1.122,0.262,174.6165,300.2133,0.0681,2994
6m,hump_gamma1,-0.0179,-46.5793,-0.498,0.619,-0.0135,-177.7858,-0.961,0.337,-46.5793,-224.3652,0.0024,2994
6m,hump_gamma2,-0.0316,348.6056,1.643,0.101,0.0133,-471.1071,-1.588,0.112,348.6056,-122.5015,0.0119,2994
12m,hump_gamma0,-0.0383,217.5445,2.052,0.040,0.0326,-189.9245,-1.096,0.273,217.5445,27.62,0.0562,1403
12m,hump_gamma1,-0.0055,-2.9922,-0.023,0.982,-0.0101,133.4939,0.721,0.471,-2.9922,130.5017,0.0075,1403
12m,hump_gamma2,-0.008,164.6509,0.668,0.504,-0.0135,-143.4245,-0.377,0.706,164.6509,21.2264,0.012,1403
