Maturity,Hump,alpha,beta1,t_beta1,p_beta1,beta2,beta3,t_beta3,p_beta3,contango_slope,backwardation_slope,R2,N
3m,hump_gamma0,,,,,,,,,,,,
3m,hump_gamma1,,,,,,,,,,,,
3m,hump_gamma2,,,,,,,,,,,,
4m,hump_gamma0,-0.0673,-359.1271,-1.502,0.133,0.2666,759.7905,1.385,0.166,-359.1271,400.6634,0.2885,100
4m,hump_gamma1,-0.0101,-1602.2287,-1.686,0.092,-0.0544,3055.7777,2.160,0.031,-1602.2287,1453.5491,0.1219,100
4m,hump_gamma2,-0.046,-5.3857,-0.018,0.986,-0.1063,440.8111,0.626,0.531,-5.3857,435.4255,0.1281,100
6m,hump_gamma0,-0.0453,-120.8998,-0.724,0.469,0.2382,1727.4444,1.540,0.124,-120.8998,1606.5445,0.117,403
6m,hump_gamma1,0.0357,-658.8199,-1.461,0.144,-0.0789,1249.3071,1.722,0.085,-658.8199,590.4872,0.031,403
6m,hump_gamma2,-0.0303,679.144,1.106,0.269,-0.0158,-429.8235,-0.620,0.535,679.144,249.3205,0.0165,403
12m,hump_gamma0,-0.0185,-68.5046,-0.507,0.612,-0.0632,-252.6728,-0.866,0.386,-68.5046,-321.1774,0.022,580
12m,hump_gamma1,-0.0216,-380.7894,-1.131,0.258,-0.0209,434.5962,0.986,0.324,-380.7894,53.8068,0.0092,580
12m,hump_gamma2,-0.044,292.6072,0.840,0.401,0.0104,275.8674,0.520,0.603,292.6072,568.4747,0.0194,580
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
