Asset,Maturity,beta1 (daily),t_beta1 (daily),R2 (daily),beta1 (weekly),t_beta1 (weekly),R2 (weekly),beta1 (monthly),t_beta1 (monthly),R2 (monthly)
variance_swap,1m,-1.0083,-1.75,0.0031,,,,,,
variance_swap,2m,-0.0733,-0.28,0.0007,0.7375,0.436,0.0221,,,
variance_swap,3m,-0.0457,-0.277,0.0003,-0.1042,-0.08,0.0158,,,
variance_swap,4m,-0.0681,-0.518,0.0004,-0.0952,-0.081,0.0055,14.0699,1.764,0.2454
variance_swap,6m,-0.0678,-0.627,0.0017,-0.794,-1.325,0.0034,-7.3609,-2.727,0.133
variance_swap,12m,0.0241,0.28,0.0003,0.5117,1.345,0.0104,-0.1593,-0.128,0.0088
straddle,1m,-0.1184,-1.302,0.0019,-0.4154,-1.348,0.0079,0.3554,0.187,0.0095
straddle,2m,-0.1005,-1.957,0.0042,-0.3023,-1.815,0.0311,-1.2788,-1.633,0.0629
straddle,3m,-0.0838,-2.068,0.0061,-0.2987,-2.134,0.0378,-1.5553,-2.378,0.0626
straddle,4m,-0.0746,-2.271,0.0032,-0.254,-2.117,0.0259,-1.3972,-2.367,0.0441
straddle,6m,-0.0572,-2.08,0.005,-0.2276,-2.258,0.0278,-1.1914,-2.775,0.0586
straddle,12m,-0.0361,-1.4,0.0026,-0.0309,-0.291,0.0242,0.313,0.446,0.0725
