Maturity,Predictor,R2_OOS,CW_stat,CW_pval,DA,DA_pval,N_OOS
1m,gamma0__6m__1m,-0.0067,-0.553,0.7099,0.7049,0.0009,1267
1m,gamma0__12m__1m,-0.0069,-0.345,0.6349,0.7049,0.0009,1267
1m,gamma0__12m__6m,-0.0057,0.164,0.4348,0.7049,0.0009,1267
2m,gamma0__6m__1m,-0.046,-0.196,0.5775,0.6604,0.0135,1108
2m,gamma0__12m__1m,-0.0187,0.058,0.4767,0.6415,0.0267,1108
2m,gamma0__12m__6m,-0.013,0.29,0.386,0.5849,0.1358,1108
3m,gamma0__6m__1m,-0.0104,0.552,0.2906,0.5981,0.0263,2233
3m,gamma0__12m__1m,0.0044,0.68,0.2481,0.5981,0.0263,2233
3m,gamma0__12m__6m,0.0048,0.812,0.2083,0.5888,0.0407,2233
4m,gamma0__6m__1m,-0.0127,0.467,0.3204,0.57,0.0967,2084
4m,gamma0__12m__1m,0.0066,0.732,0.2322,0.57,0.0967,2084
4m,gamma0__12m__6m,0.0045,0.675,0.2498,0.55,0.1841,2084
6m,gamma0__6m__1m,0.0154,0.68,0.2484,0.5417,0.3327,993
6m,gamma0__12m__1m,0.0484,0.837,0.2014,0.5417,0.3327,993
6m,gamma0__12m__6m,0.0652,0.99,0.1611,0.5208,0.4427,993
12m,gamma0__6m__1m,0.0103,1.436,0.0755,0.4487,0.8459,1635
12m,gamma0__12m__1m,0.0218,1.785,0.0372,0.5128,0.455,1635
12m,gamma0__12m__6m,0.0512,2.707,0.0034,0.5897,0.0703,1635
