Maturity,Predictor,R2_OOS,CW_stat,CW_pval,DA,DA_pval,N_OOS
3m,gamma0__6m__1m,,,,,,
3m,gamma0__12m__1m,,,,,,
3m,gamma0__12m__6m,,,,,,
4m,gamma0__6m__1m,-5.3399,-1.594,0.9445,0.25,0.9375,65.0
4m,gamma0__12m__1m,-6.1281,-1.58,0.9429,0.25,0.9375,65.0
4m,gamma0__12m__6m,-0.3916,-0.739,0.77,1.0,0.0625,65.0
6m,gamma0__6m__1m,-0.2119,0.255,0.3995,0.7143,0.2266,145.0
6m,gamma0__12m__1m,-0.2595,-1.374,0.9152,0.4286,0.7734,145.0
6m,gamma0__12m__6m,-0.9014,0.192,0.4237,0.4286,0.7734,145.0
12m,gamma0__6m__1m,0.006,0.546,0.2927,0.7143,0.0898,283.0
12m,gamma0__12m__1m,-0.0497,0.485,0.3138,0.7143,0.0898,283.0
12m,gamma0__12m__6m,-0.0631,0.776,0.2189,0.7143,0.0898,283.0
