date,factor,long_maturity,short_maturity,spread,spread_label
2000-01-03,gamma0,6m,1m,0.0043372477874122906,gamma0__6m__1m
2000-01-03,gamma0,12m,1m,-0.0052172774619041185,gamma0__12m__1m
2000-01-03,gamma0,12m,6m,-0.009554525249316409,gamma0__12m__6m
2000-01-04,gamma0,6m,1m,-0.018766643495336827,gamma0__6m__1m
2000-01-04,gamma0,12m,1m,-0.024677944347883896,gamma0__12m__1m
2000-01-04,gamma0,12m,6m,-0.005911300852547069,gamma0__12m__6m
2000-01-05,gamma0,6m,1m,-0.005286909257151251,gamma0__6m__1m
2000-01-05,gamma0,12m,1m,-0.014610471411732051,gamma0__12m__1m
2000-01-05,gamma0,12m,6m,-0.0093235621545808,gamma0__12m__6m
2000-01-06,gamma0,6m,1m,0.003990121377665079,gamma0__6m__1m
2000-01-06,gamma0,12m,1m,-0.014483575759336426,gamma0__12m__1m
2000-01-06,gamma0,12m,6m,-0.018473697137001505,gamma0__12m__6m
2000-01-07,gamma0,6m,1m,0.019036794186231637,gamma0__6m__1m
2000-01-07,gamma0,12m,1m,0.02278297420749162,gamma0__12m__1m
2000-01-07,gamma0,12m,6m,0.0037461800212599816,gamma0__12m__6m
2000-01-10,gamma0,6m,1m,0.01573012050476591,gamma0__6m__1m
2000-01-10,gamma0,12m,1m,0.01538687454772733,gamma0__12m__1m
2000-01-10,gamma0,12m,6m,-0.0003432459570385793,gamma0__12m__6m
2000-01-11,gamma0,6m,1m,0.010106555162443326,gamma0__6m__1m
2000-01-11,gamma0,12m,1m,0.010392449572148632,gamma0__12m__1m
2000-01-11,gamma0,12m,6m,0.0002858944097053062,gamma0__12m__6m
2000-01-12,gamma0,6m,1m,0.006950018576092176,gamma0__6m__1m
2000-01-12,gamma0,12m,1m,0.007042153297298237,gamma0__12m__1m
2000-01-12,gamma0,12m,6m,9.213472120606081e-05,gamma0__12m__6m
2000-01-13,gamma0,6m,1m,0.016870297582381177,gamma0__6m__1m
2000-01-13,gamma0,12m,1m,0.014809346649756694,gamma0__12m__1m
2000-01-13,gamma0,12m,6m,-0.0020609509326244835,gamma0__12m__6m
2000-01-14,gamma0,6m,1m,0.027587830351385345,gamma0__6m__1m
2000-01-14,gamma0,12m,1m,0.031112700859447867,gamma0__12m__1m
2000-01-14,gamma0,12m,6m,0.003524870508062522,gamma0__12m__6m
2000-01-18,gamma0,12m,6m,0.0026050144941039133,gamma0__12m__6m
2000-01-19,gamma0,6m,1m,0.01605166823267068,gamma0__6m__1m
2000-01-19,gamma0,12m,1m,0.018708115673198716,gamma0__12m__1m
2000-01-19,gamma0,12m,6m,0.002656447440528037,gamma0__12m__6m
2000-01-20,gamma0,6m,1m,0.014748202918690445,gamma0__6m__1m
2000-01-20,gamma0,12m,1m,0.017000892987370314,gamma0__12m__1m
2000-01-20,gamma0,12m,6m,0.002252690068679869,gamma0__12m__6m
2000-01-21,gamma0,6m,1m,0.021070394677019932,gamma0__6m__1m
2000-01-21,gamma0,12m,1m,0.02696878857050941,gamma0__12m__1m
2000-01-21,gamma0,12m,6m,0.005898393893489479,gamma0__12m__6m
2000-01-24,gamma0,6m,1m,0.0008463026890454806,gamma0__6m__1m
2000-01-24,gamma0,12m,1m,0.003680251896353598,gamma0__12m__1m
2000-01-24,gamma0,12m,6m,0.0028339492073081174,gamma0__12m__6m
2000-01-25,gamma0,6m,1m,0.00840153163460769,gamma0__6m__1m
2000-01-25,gamma0,12m,1m,0.010905223265909259,gamma0__12m__1m
2000-01-25,gamma0,12m,6m,0.002503691631301569,gamma0__12m__6m
2000-01-26,gamma0,6m,1m,0.009220792082409557,gamma0__6m__1m
2000-01-26,gamma0,12m,1m,0.012959926288809182,gamma0__12m__1m
2000-01-26,gamma0,12m,6m,0.0037391342063996247,gamma0__12m__6m
2000-01-27,gamma0,6m,1m,0.009395098100694943,gamma0__6m__1m
2000-01-27,gamma0,12m,1m,0.013331932058988527,gamma0__12m__1m
2000-01-27,gamma0,12m,6m,0.003936833958293584,gamma0__12m__6m
2000-01-28,gamma0,6m,1m,-0.009887201108374544,gamma0__6m__1m
2000-01-28,gamma0,12m,1m,-0.006401164919176194,gamma0__12m__1m
2000-01-28,gamma0,12m,6m,0.0034860361891983493,gamma0__12m__6m
2000-01-31,gamma0,6m,1m,-0.00035491019045305605,gamma0__6m__1m
2000-01-31,gamma0,12m,1m,6.776171574737755e-05,gamma0__12m__1m
2000-01-31,gamma0,12m,6m,0.0004226719062004336,gamma0__12m__6m
2000-02-01,gamma0,6m,1m,0.009993890755678414,gamma0__6m__1m
2000-02-01,gamma0,12m,1m,0.01039416680870231,gamma0__12m__1m
2000-02-01,gamma0,12m,6m,0.0004002760530238958,gamma0__12m__6m
2000-02-02,gamma0,6m,1m,0.010089458994125222,gamma0__6m__1m
2000-02-02,gamma0,12m,1m,0.010163882164900578,gamma0__12m__1m
2000-02-02,gamma0,12m,6m,7.44231707753562e-05,gamma0__12m__6m
2000-02-03,gamma0,6m,1m,0.013952401566367428,gamma0__6m__1m
2000-02-03,gamma0,12m,1m,0.022357074165468976,gamma0__12m__1m
2000-02-03,gamma0,12m,6m,0.008404672599101548,gamma0__12m__6m
2000-02-04,gamma0,6m,1m,0.01406091299209239,gamma0__6m__1m
2000-02-04,gamma0,12m,1m,0.019055149431270735,gamma0__12m__1m
2000-02-04,gamma0,12m,6m,0.004994236439178346,gamma0__12m__6m
2000-02-07,gamma0,6m,1m,0.004612086375928248,gamma0__6m__1m
2000-02-07,gamma0,12m,1m,0.008653203724549946,gamma0__12m__1m
2000-02-07,gamma0,12m,6m,0.004041117348621698,gamma0__12m__6m
2000-02-08,gamma0,6m,1m,0.014811241924480384,gamma0__6m__1m
2000-02-08,gamma0,12m,1m,0.01953155316721822,gamma0__12m__1m
2000-02-08,gamma0,12m,6m,0.004720311242737835,gamma0__12m__6m
2000-02-09,gamma0,6m,1m,0.004180114860768552,gamma0__6m__1m
2000-02-09,gamma0,12m,1m,0.008561446369023007,gamma0__12m__1m
2000-02-09,gamma0,12m,6m,0.004381331508254455,gamma0__12m__6m
2000-02-10,gamma0,6m,1m,0.00399782887526684,gamma0__6m__1m
2000-02-10,gamma0,12m,1m,0.006213354067329896,gamma0__12m__1m
2000-02-10,gamma0,12m,6m,0.002215525192063056,gamma0__12m__6m
2000-02-11,gamma0,6m,1m,-0.002470679751664151,gamma0__6m__1m
2000-02-11,gamma0,12m,1m,0.001522224907833103,gamma0__12m__1m
2000-02-11,gamma0,12m,6m,0.003992904659497254,gamma0__12m__6m
2000-02-14,gamma0,12m,6m,0.0026459597237176724,gamma0__12m__6m
2000-02-15,gamma0,12m,6m,0.0024668055444318493,gamma0__12m__6m
2000-02-16,gamma0,6m,1m,0.0090125614296592,gamma0__6m__1m
2000-02-16,gamma0,12m,1m,0.010820197427118233,gamma0__12m__1m
2000-02-16,gamma0,12m,6m,0.001807635997459034,gamma0__12m__6m
2000-02-17,gamma0,6m,1m,0.011586971634176546,gamma0__6m__1m
2000-02-17,gamma0,12m,1m,0.011326498345697128,gamma0__12m__1m
2000-02-17,gamma0,12m,6m,-0.0002604732884794181,gamma0__12m__6m
2000-02-18,gamma0,6m,1m,-0.005218925808948616,gamma0__6m__1m
2000-02-18,gamma0,12m,1m,-0.004839633618851147,gamma0__12m__1m
2000-02-18,gamma0,12m,6m,0.00037929219009746884,gamma0__12m__6m
2000-02-22,gamma0,6m,1m,-0.006060700750021963,gamma0__6m__1m
2000-02-22,gamma0,12m,1m,-0.0046751897020647915,gamma0__12m__1m
2000-02-22,gamma0,12m,6m,0.001385511047957172,gamma0__12m__6m
2000-02-23,gamma0,6m,1m,0.0039087385303156474,gamma0__6m__1m
2000-02-23,gamma0,12m,1m,0.0066559638487365125,gamma0__12m__1m
2000-02-23,gamma0,12m,6m,0.002747225318420865,gamma0__12m__6m
2000-02-24,gamma0,6m,1m,0.005969600637023342,gamma0__6m__1m
2000-02-24,gamma0,12m,1m,0.008974103994937754,gamma0__12m__1m
2000-02-24,gamma0,12m,6m,0.003004503357914412,gamma0__12m__6m
2000-02-25,gamma0,6m,1m,-0.00039405825827715235,gamma0__6m__1m
2000-02-25,gamma0,12m,1m,0.00047853604681363793,gamma0__12m__1m
2000-02-25,gamma0,12m,6m,0.0008725943050907903,gamma0__12m__6m
2000-02-28,gamma0,6m,1m,0.0013728982382159582,gamma0__6m__1m
2000-02-28,gamma0,12m,1m,0.005940442283296349,gamma0__12m__1m
2000-02-28,gamma0,12m,6m,0.004567544045080391,gamma0__12m__6m
2000-02-29,gamma0,6m,1m,0.009393418148039123,gamma0__6m__1m
2000-02-29,gamma0,12m,1m,0.014482437161004197,gamma0__12m__1m
2000-02-29,gamma0,12m,6m,0.005089019012965074,gamma0__12m__6m
2000-03-01,gamma0,6m,1m,0.020762467604494073,gamma0__6m__1m
2000-03-01,gamma0,12m,1m,0.02886426130150263,gamma0__12m__1m
2000-03-01,gamma0,12m,6m,0.008101793697008558,gamma0__12m__6m
2000-03-02,gamma0,6m,1m,0.02156305670787556,gamma0__6m__1m
2000-03-02,gamma0,12m,1m,0.02934938221199057,gamma0__12m__1m
2000-03-02,gamma0,12m,6m,0.00778632550411501,gamma0__12m__6m
2000-03-03,gamma0,6m,1m,0.03305306706582903,gamma0__6m__1m
2000-03-03,gamma0,12m,1m,0.04228872065439854,gamma0__12m__1m
2000-03-03,gamma0,12m,6m,0.009235653588569509,gamma0__12m__6m
2000-03-06,gamma0,6m,1m,0.019976746347557278,gamma0__6m__1m
2000-03-06,gamma0,12m,1m,0.027217861069351035,gamma0__12m__1m
2000-03-06,gamma0,12m,6m,0.007241114721793757,gamma0__12m__6m
2000-03-07,gamma0,6m,1m,0.000813166281435046,gamma0__6m__1m
2000-03-07,gamma0,12m,1m,0.008079681888891688,gamma0__12m__1m
2000-03-07,gamma0,12m,6m,0.007266515607456642,gamma0__12m__6m
2000-03-08,gamma0,6m,1m,0.0077744453814270476,gamma0__6m__1m
2000-03-08,gamma0,12m,1m,0.01225423065825465,gamma0__12m__1m
2000-03-08,gamma0,12m,6m,0.0044797852768276025,gamma0__12m__6m
2000-03-09,gamma0,6m,1m,0.017809905858798658,gamma0__6m__1m
2000-03-09,gamma0,12m,1m,0.026517330046346377,gamma0__12m__1m
2000-03-09,gamma0,12m,6m,0.008707424187547719,gamma0__12m__6m
2000-03-10,gamma0,6m,1m,0.022260434949127827,gamma0__6m__1m
2000-03-10,gamma0,12m,1m,0.03205542145254803,gamma0__12m__1m
2000-03-10,gamma0,12m,6m,0.0097949865034202,gamma0__12m__6m
2000-03-13,gamma0,12m,6m,0.009019654740270694,gamma0__12m__6m
2000-03-14,gamma0,12m,6m,0.006253528754681076,gamma0__12m__6m
2000-03-15,gamma0,12m,6m,0.008421201856396082,gamma0__12m__6m
2000-03-16,gamma0,12m,6m,0.006857669110824777,gamma0__12m__6m
2000-03-17,gamma0,12m,6m,0.009141707208786154,gamma0__12m__6m
2000-03-20,gamma0,12m,6m,0.00802551761699255,gamma0__12m__6m
2000-03-21,gamma0,12m,6m,0.008373358026663308,gamma0__12m__6m
2000-03-22,gamma0,6m,1m,0.017185153162864758,gamma0__6m__1m
2000-03-22,gamma0,12m,1m,0.023038156266556975,gamma0__12m__1m
2000-03-22,gamma0,12m,6m,0.005853003103692217,gamma0__12m__6m
2000-03-23,gamma0,6m,1m,0.01921991775305562,gamma0__6m__1m
2000-03-23,gamma0,12m,1m,0.026297371955670612,gamma0__12m__1m
2000-03-23,gamma0,12m,6m,0.007077454202614991,gamma0__12m__6m
2000-03-24,gamma0,6m,1m,0.020062697556357284,gamma0__6m__1m
2000-03-24,gamma0,12m,1m,0.029928391689434952,gamma0__12m__1m
2000-03-24,gamma0,12m,6m,0.009865694133077668,gamma0__12m__6m
2000-03-27,gamma0,6m,1m,0.0074370905832655265,gamma0__6m__1m
2000-03-27,gamma0,12m,1m,0.0077704651445597295,gamma0__12m__1m
2000-03-27,gamma0,12m,6m,0.00033337456129420295,gamma0__12m__6m
2000-03-28,gamma0,6m,1m,0.00415732572774144,gamma0__6m__1m
2000-03-28,gamma0,12m,1m,0.006590620467854885,gamma0__12m__1m
2000-03-28,gamma0,12m,6m,0.0024332947401134453,gamma0__12m__6m
2000-03-29,gamma0,6m,1m,0.0060418714805978435,gamma0__6m__1m
2000-03-29,gamma0,12m,1m,0.009804865477870461,gamma0__12m__1m
