maturity,VRP asset,Mean (%),std (%),skew,kurt,Min (%),max (%),AR (1)
1m,variance swap,5.857,20.245,2.656,9.782,-24.436,124.903,0.1
1m,straddle,-0.328,5.513,1.886,5.922,-11.254,27.776,-0.023
2m,variance swap,2.328,12.798,2.571,10.256,-20.664,80.899,0.047
2m,straddle,-0.199,3.342,1.692,5.749,-7.66,17.362,0.018
3m,variance swap,1.022,9.428,2.299,8.547,-16.449,55.926,0.027
3m,straddle,-0.114,2.605,1.476,5.023,-6.628,13.089,0.048
4m,variance swap,0.378,7.699,2.021,7.218,-15.346,43.844,0.016
4m,straddle,-0.083,2.154,1.327,4.647,-5.775,10.685,0.055
6m,variance swap,0.057,6.013,1.703,5.668,-13.773,31.473,-0.008
6m,straddle,-0.052,1.713,1.187,4.474,-4.796,8.527,0.056
12m,variance swap,-0.141,3.794,1.158,3.72,-10.301,17.043,-0.003
12m,straddle,0.02,1.165,0.894,3.115,-3.195,5.267,0.104
